Date,Open,High,Low,Close,Adj Close,Volume
2014-02-07,47.576664,49.996670,47.486668,49.866669,47.407734,1056000
2014-02-10,50.103333,51.373333,50.103333,51.283337,48.754543,1150800
2014-02-11,51.690002,52.200001,51.093334,52.006668,49.442207,1240800
2014-02-12,52.336666,52.656666,51.936665,52.130001,49.559464,837000
2014-02-13,51.666668,52.753330,51.416668,52.726665,50.126709,799800
2014-02-14,52.896667,53.190002,51.676666,51.820004,49.264755,2177700
2014-02-18,52.330002,53.193333,52.133331,53.166668,50.545010,1015800
2014-02-19,53.316666,53.360001,52.200001,52.289997,49.711555,1110000
2014-02-20,52.440002,53.830002,52.080002,53.683334,51.036194,1117500
2014-02-21,54.130001,55.316666,53.889999,54.796665,52.094624,2054400
2014-02-24,55.350002,55.973331,55.033337,55.503330,52.766449,1392000
2014-02-25,56.623333,57.289997,56.013332,56.833332,54.030872,1433700
2014-02-26,57.076664,57.506668,56.289997,56.669998,53.875595,1379100
2014-02-27,56.616669,57.100002,55.700001,56.886669,54.081573,748200
2014-02-28,57.000000,57.106670,53.563335,54.573334,51.882309,3849600
2014-03-03,53.696667,54.593334,53.160000,54.436665,51.752380,2191500
2014-03-04,55.450001,56.166668,55.450001,55.816666,53.064331,1319400
2014-03-05,56.020000,56.020000,55.393330,55.616669,52.874199,1470000
2014-03-06,56.143330,56.143330,53.733334,53.869999,51.213657,2127600
2014-03-07,54.389999,54.406666,52.363331,53.616669,50.972820,3948900
2014-03-10,53.623333,53.886669,52.570004,53.816666,51.162956,1911900
2014-03-11,53.903336,54.786667,53.023335,53.273335,50.646412,1300800
2014-03-12,52.563335,53.773335,52.299999,53.549999,50.909443,1334100
2014-03-13,53.896667,54.196667,51.973331,52.539997,49.949230,1922100
2014-03-14,52.543335,53.183334,51.916668,52.753330,50.152050,2934600
2014-03-17,53.376667,53.673336,52.216663,52.419998,49.835159,1354500
2014-03-18,52.720001,54.333332,52.480000,54.283337,51.606617,1212600
2014-03-19,54.516666,54.750000,53.600002,54.053333,51.387951,1137600
2014-03-20,53.803333,54.179996,53.213333,53.389999,50.757317,1185600
2014-03-21,53.663334,53.826664,50.796665,51.049999,48.837330,4662300
2014-03-24,51.056667,51.299999,47.543335,49.000000,46.876190,4770900
2014-03-25,49.403336,50.230000,47.686665,48.759998,46.646599,3633600
2014-03-26,48.826664,49.460003,47.136669,47.200001,45.154209,3606900
2014-03-27,47.149998,47.960003,45.743332,47.626667,45.562386,3633300
2014-03-28,47.863331,48.049999,45.490002,45.903336,43.913750,3957000
2014-03-31,46.160000,47.536667,46.020000,47.493332,45.434822,2469000
2014-04-01,47.923336,49.059998,47.610001,48.490002,46.388298,2774700
2014-04-02,49.103333,49.330002,47.610001,48.136669,46.050278,3362100
2014-04-03,48.263332,48.313335,45.863331,46.393330,44.382507,2855700
